Sr. No.,Name,Sector
1,MAHINDRA & MAHINDRA LTD,Automobiles
2,MARUTI SUZUKI INDIA LTD.,Automobiles
3,TATA MOTORS LIMITED,Automobiles
4,HDFC BANK LTD,Banking and Financial Services
5,ICICI BANK LTD.,Banking and Financial Services
6,STATE BANK OF INDIA,Banking and Financial Services
7,LARSEN & TOUBRO LTD.,Cement and Construction
8,ULTRATECH CEMENT LIMITED,Cement and Construction
9,GRASIM INDUSTRIES LTD,Cement and Construction
10,HINDUSTAN UNILEVER LTD.,Consumer Goods
11,ITC LTD,Consumer Goods
12,ASIAN PAINTS LIMITED,Consumer Goods
13,RELIANCE INDUSTRIES LTD,Energy
14,NTPC LTD,Energy
15,ADANI ENTERPRISES LIMITED,Energy
16,SUN PHARMACEUTICAL IND L,Healthcare and Pharmaceuticals
17,DIVI S LABORATORIES LTD,Healthcare and Pharmaceuticals
18,CIPLA LTD,Healthcare and Pharmaceuticals
19,TATA CONSULTANCY SERV LT,Information Technology
20,INFOSYS LIMITED,Information Technology
21,HCL TECHNOLOGIES LTD,Information Technology
22,JSW STEEL LIMITED,Metals and Mining
23,TATA STEEL LIMITED,Metals and Mining
24,HINDALCO  INDUSTRIES  LTD,Metals and Mining
25,BHARTI AIRTEL LIMITED,Telecommunications
